id,origem,dataEmissao,competencia,tomador,servico,valor,valorNumero,status,statusSlug,contajaId
contaja-167860,contaja,07/11/2023 18:49:09,11/2023,MOB2CON SOLUCOES TECNOLOGICAS S.A,"170100388   17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 19.150,00",19150,Autorizada,authorized,167860
contaja-154637,contaja,02/10/2023 13:09:11,10/2023,MOB2CON SOLUCOES TECNOLOGICAS S.A,"170100388   17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 19.150,00",19150,Autorizada,authorized,154637
contaja-145175,contaja,04/09/2023 15:10:36,09/2023,MOB2CON SOLUCOES TECNOLOGICAS S.A,"170100388   17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 19.150,00",19150,Autorizada,authorized,145175
contaja-134477,contaja,02/08/2023 18:28:14,08/2023,MOB2CON SOLUCOES TECNOLOGICAS S.A,"170100388   17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 19.150,00",19150,Autorizada,authorized,134477
contaja-123602,contaja,03/07/2023 20:01:52,07/2023,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388   17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 19.150,00",19150,Autorizada,authorized,123602
contaja-123601,contaja,03/07/2023 20:00:49,07/2023,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388   17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 18.000,00",18000,Autorizada,authorized,123601
contaja-112417,contaja,02/06/2023 17:45:26,06/2023,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388   17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 18.000,00",18000,Autorizada,authorized,112417
contaja-99129,contaja,06/05/2023 00:03:16,05/2023,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388   17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 18.000,00",18000,Autorizada,authorized,99129
contaja-89121,contaja,04/04/2023 12:23:52,04/2023,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388   17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 18.000,00",18000,Autorizada,authorized,89121
contaja-79817,contaja,03/03/2023 18:34:49,03/2023,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388   17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 18.000,00",18000,Autorizada,authorized,79817
contaja-71089,contaja,01/02/2023 13:28:31,02/2023,MOB2CON SOLUCOES TECNOLOGICAS LTDA,"170100388   17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 18.000,00",18000,Autorizada,authorized,71089
contaja-64469,contaja,11/01/2023 15:13:18,01/2023,CONTA JA CONTABILIDADE LTDA,"Selecione o serviço170100388   17.01 - ANÁLISE, EXAME, PESQUISA, COLETA, COMPILAÇÃO E FORNECIMENTO DE DADOS E INFORMAÇÕES, INCLUSIVE CADASTRO E SIMILARES, EXCETO PESQUISA DE OPINIÃO PÚBLICA","R$ 0,01",0.01,Autorizada,authorized,64469
planejamento-07-2026,planejamento,,07/2026,MOB2CON SOLUCOES TECNOLOGICAS S.A,ref a jun/26 (planejado),"R$ 27.000,00",27000,Planejada,planned,
planejamento-08-2026,planejamento,,08/2026,MOB2CON SOLUCOES TECNOLOGICAS S.A,ref a jul/26 (planejado),"R$ 27.000,00",27000,Planejada,planned,
planejamento-09-2026,planejamento,,09/2026,MOB2CON SOLUCOES TECNOLOGICAS S.A,ref a ago/26 (planejado),"R$ 27.000,00",27000,Planejada,planned,
planejamento-10-2026,planejamento,,10/2026,MOB2CON SOLUCOES TECNOLOGICAS S.A,ref a set/26 (planejado),"R$ 27.000,00",27000,Planejada,planned,
planejamento-11-2026,planejamento,,11/2026,MOB2CON SOLUCOES TECNOLOGICAS S.A,ref a out/26 (planejado),"R$ 27.000,00",27000,Planejada,planned,
planejamento-12-2026,planejamento,,12/2026,MOB2CON SOLUCOES TECNOLOGICAS S.A,ref a nov/26 (planejado),"R$ 27.000,00",27000,Planejada,planned,
