tipoDocumento,competencia,vencimento,valor,valorNumero,status,voceJaPagou,id
DAS - SIMPLES NACIONAL,01/2025,20/02/2025,"R$ 1.513,09",1513.09,Pago,true,DAS - SIMPLES NACIONAL|01/2025|20/02/2025
DARF - FOLHA,01/2025,20/02/2025,"R$ 166,98",166.98,Pago,true,DARF - FOLHA|01/2025|20/02/2025
DAS - SIMPLES NACIONAL,12/2024,20/01/2025,"R$ 1.510,30",1510.3,Pago,true,DAS - SIMPLES NACIONAL|12/2024|20/01/2025
DARF - FOLHA,12/2024,20/01/2025,"R$ 155,32",155.32,Pago,true,DARF - FOLHA|12/2024|20/01/2025
HOLERITE,12/2024,20/01/2025,-,,Vencido,false,HOLERITE|12/2024|20/01/2025
DAS - SIMPLES NACIONAL,11/2024,20/12/2024,"R$ 1.507,49",1507.49,Pago,true,DAS - SIMPLES NACIONAL|11/2024|20/12/2024
DARF - FOLHA,11/2024,20/12/2024,"R$ 155,32",155.32,Pago,true,DARF - FOLHA|11/2024|20/12/2024
HOLERITE | HOLERITE,11/2024,20/12/2024,-,,Pago,true,HOLERITE | HOLERITE|11/2024|20/12/2024
DAS - SIMPLES NACIONAL |...,10/2024,21/11/2024,"R$ 1.504,66",1504.66,Pago,true,DAS - SIMPLES NACIONAL |...|10/2024|21/11/2024
DARF - FOLHA | DARF FOLHA,10/2024,19/11/2024,"R$ 155,32",155.32,Pago,true,DARF - FOLHA | DARF FOLHA|10/2024|19/11/2024
HOLERITE | HOLERITE,10/2024,20/11/2024,-,,Pago,true,HOLERITE | HOLERITE|10/2024|20/11/2024
DAS - SIMPLES NACIONAL |...,09/2024,21/10/2024,"R$ 1.501,81",1501.81,Pago,true,DAS - SIMPLES NACIONAL |...|09/2024|21/10/2024
DARF - FOLHA | DARF FOLHA,09/2024,18/10/2024,"R$ 155,32",155.32,Pago,true,DARF - FOLHA | DARF FOLHA|09/2024|18/10/2024
HOLERITE | HOLERITE,09/2024,18/10/2024,-,,Pago,true,HOLERITE | HOLERITE|09/2024|18/10/2024
DAS - SIMPLES NACIONAL |...,08/2024,20/09/2024,"R$ 1.498,94",1498.94,Pago,true,DAS - SIMPLES NACIONAL |...|08/2024|20/09/2024
DARF - FOLHA | DARF FOLHA,08/2024,20/09/2024,"R$ 155,32",155.32,Pago,true,DARF - FOLHA | DARF FOLHA|08/2024|20/09/2024
HOLERITE | HOLERITE,08/2024,20/09/2024,-,,Pago,true,HOLERITE | HOLERITE|08/2024|20/09/2024
DAS - SIMPLES NACIONAL |...,07/2024,20/08/2024,"R$ 2.914,00",2914,Pago,true,DAS - SIMPLES NACIONAL |...|07/2024|20/08/2024
DARF - FOLHA | DARF FOLHA,07/2024,20/08/2024,"R$ 155,32",155.32,Pago,true,DARF - FOLHA | DARF FOLHA|07/2024|20/08/2024
HOLERITE | HOLERITE,07/2024,20/08/2024,-,,Pago,true,HOLERITE | HOLERITE|07/2024|20/08/2024
DAS - SIMPLES NACIONAL |...,06/2024,22/07/2024,"R$ 1.418,08",1418.08,Pago,true,DAS - SIMPLES NACIONAL |...|06/2024|22/07/2024
DARF - FOLHA | DARF FOLHA,06/2024,19/07/2024,"R$ 155,32",155.32,Pago,true,DARF - FOLHA | DARF FOLHA|06/2024|19/07/2024
HOLERITE,06/2024,19/07/2024,-,,Pago,true,HOLERITE|06/2024|19/07/2024
DAS MENSAL,05/2024,20/06/2024,-,,Não consultado,false,DAS MENSAL|05/2024|20/06/2024
DARF FOLHA,05/2024,20/06/2024,-,,Não consultado,false,DARF FOLHA|05/2024|20/06/2024
HOLERITE,05/2024,20/06/2024,-,,Não consultado,false,HOLERITE|05/2024|20/06/2024
DAS MENSAL,04/2024,20/05/2024,-,,Não consultado,false,DAS MENSAL|04/2024|20/05/2024
DARF FOLHA,04/2024,20/05/2024,-,,Não consultado,false,DARF FOLHA|04/2024|20/05/2024
TAXA DE LOCALIZAÇÃO E F...,04/2024,10/05/2024,-,,Não consultado,false,TAXA DE LOCALIZAÇÃO E F...|04/2024|10/05/2024
DAS MENSAL,03/2024,20/04/2024,-,,Não consultado,false,DAS MENSAL|03/2024|20/04/2024
DARF FOLHA,03/2024,19/04/2024,-,,Não consultado,false,DARF FOLHA|03/2024|19/04/2024
DAS MENSAL,02/2024,20/03/2024,-,,Não consultado,false,DAS MENSAL|02/2024|20/03/2024
DARF FOLHA,02/2024,20/03/2024,-,,Não consultado,false,DARF FOLHA|02/2024|20/03/2024
Envelope de Pagamento...,02/2024,20/03/2024,-,,Não consultado,false,Envelope de Pagamento...|02/2024|20/03/2024
DAS MENSAL,01/2024,20/02/2024,-,,Não consultado,false,DAS MENSAL|01/2024|20/02/2024
DARF FOLHA,01/2024,20/02/2024,-,,Não consultado,false,DARF FOLHA|01/2024|20/02/2024
Envelope de Pagamento...,01/2024,20/02/2024,-,,Não consultado,false,Envelope de Pagamento...|01/2024|20/02/2024
DARF FOLHA,12/2023,19/01/2024,-,,Não consultado,false,DARF FOLHA|12/2023|19/01/2024
DAS MENSAL,12/2023,22/01/2024,-,,Não consultado,false,DAS MENSAL|12/2023|22/01/2024
