contajaId,tipoDocumento,competencia,vencimento,valor,valorNumero,status,anexo,aliquotaEfetiva,receitaCompetencia,impostoDevido,fatorR,visualizar,id
587050,DAS - SIMPLES NACIONAL,06/2025,21/07/2025,"R$ 1.526,74",1526.74,Pago,Anexo III,"7,59","R$ 20.107,50","R$ 1.526,74",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|06/2025|21/07/2025
580612,HOLERITE,06/2025,18/07/2025,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|06/2025|18/07/2025
564166,DAS - SIMPLES NACIONAL,05/2025,20/06/2025,"R$ 1.524,03",1524.03,Pago,Anexo III,"7,58","R$ 20.107,50","R$ 1.524,03",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|05/2025|20/06/2025
559778,DARF - FOLHA,05/2025,20/06/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|05/2025|20/06/2025
554098,HOLERITE,05/2025,20/06/2025,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|05/2025|20/06/2025
537167,DAS - SIMPLES NACIONAL,04/2025,20/05/2025,"R$ 1.521,34",1521.34,Pago,Anexo III,"7,57","R$ 20.107,50","R$ 1.521,34",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|04/2025|20/05/2025
533517,DARF - FOLHA,04/2025,20/05/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|04/2025|20/05/2025
527814,HOLERITE,04/2025,20/05/2025,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|04/2025|20/05/2025
521644,TAXA DE LOCALIZAÇÃO E FUNCIONAMENTO,03/2025,12/05/2025,-,,Pago,,,,,,documento sem API de calculo mapeada,TAXA DE LOCALIZAÇÃO E FUNCIONAMENTO|03/2025|12/05/2025
512182,DAS - SIMPLES NACIONAL,03/2025,22/04/2025,"R$ 1.518,60",1518.6,Pago,Anexo III,"7,55","R$ 20.107,50","R$ 1.518,60",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|03/2025|22/04/2025
504929,DARF - FOLHA,03/2025,17/04/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|03/2025|17/04/2025
499819,HOLERITE,03/2025,17/04/2025,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|03/2025|17/04/2025
486245,DARF - FOLHA,02/2025,20/03/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|02/2025|20/03/2025
480351,DAS - SIMPLES NACIONAL,02/2025,20/03/2025,"R$ 1.515,86",1515.86,Pago,Anexo III,"7,54","R$ 20.107,50","R$ 1.515,86",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|02/2025|20/03/2025
476854,HOLERITE,02/2025,20/03/2025,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE|02/2025|20/03/2025
459796,DAS - SIMPLES NACIONAL,01/2025,20/02/2025,"R$ 1.513,09",1513.09,Pago,Anexo III,"7,53","R$ 20.107,50","R$ 1.513,09",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|01/2025|20/02/2025
456758,DARF - FOLHA,01/2025,20/02/2025,"R$ 166,98",166.98,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|01/2025|20/02/2025
435369,DAS - SIMPLES NACIONAL,12/2024,20/01/2025,"R$ 1.510,30",1510.3,Pago,,,,,,documento sem API de calculo mapeada,DAS - SIMPLES NACIONAL|12/2024|20/01/2025
433165,DARF - FOLHA,12/2024,20/01/2025,"R$ 155,32",155.32,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|12/2024|20/01/2025
428839,HOLERITE,12/2024,20/01/2025,-,,Vencido,,,,,,PDF (demonstrativo),HOLERITE|12/2024|20/01/2025
413630,DAS - SIMPLES NACIONAL,11/2024,20/12/2024,"R$ 1.507,49",1507.49,Pago,Anexo III,"7,50","R$ 20.107,50","R$ 1.507,49",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL|11/2024|20/12/2024
409375,DARF - FOLHA,11/2024,20/12/2024,"R$ 155,32",155.32,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA|11/2024|20/12/2024
405326,HOLERITE | HOLERITE,11/2024,20/12/2024,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE | HOLERITE|11/2024|20/12/2024
392227,DAS - SIMPLES NACIONAL | DAS MENSAL,10/2024,21/11/2024,"R$ 1.504,66",1504.66,Pago,Anexo III,"7,48","R$ 20.107,50","R$ 1.504,66",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL | DAS MENSAL|10/2024|21/11/2024
388486,DARF - FOLHA | DARF FOLHA,10/2024,19/11/2024,"R$ 155,32",155.32,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA | DARF FOLHA|10/2024|19/11/2024
384311,HOLERITE | HOLERITE,10/2024,20/11/2024,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE | HOLERITE|10/2024|20/11/2024
370743,DAS - SIMPLES NACIONAL | DAS MENSAL,09/2024,21/10/2024,"R$ 1.501,81",1501.81,Pago,Anexo III,"7,47","R$ 20.107,50","R$ 1.501,81",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL | DAS MENSAL|09/2024|21/10/2024
368567,DARF - FOLHA | DARF FOLHA,09/2024,18/10/2024,"R$ 155,32",155.32,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA | DARF FOLHA|09/2024|18/10/2024
364351,HOLERITE | HOLERITE,09/2024,18/10/2024,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE | HOLERITE|09/2024|18/10/2024
355217,DAS - SIMPLES NACIONAL | DAS MENSAL,08/2024,20/09/2024,"R$ 1.498,94",1498.94,Pago,Anexo III,"7,45","R$ 20.107,50","R$ 1.498,94",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL | DAS MENSAL|08/2024|20/09/2024
350078,DARF - FOLHA | DARF FOLHA,08/2024,20/09/2024,"R$ 155,32",155.32,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA | DARF FOLHA|08/2024|20/09/2024
345331,HOLERITE | HOLERITE,08/2024,20/09/2024,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE | HOLERITE|08/2024|20/09/2024
333686,DAS - SIMPLES NACIONAL | DAS MENSAL,07/2024,20/08/2024,"R$ 2.914,00",2914,Pago,Anexo III,"7,42","R$ 39.257,50","R$ 2.914,00",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL | DAS MENSAL|07/2024|20/08/2024
331158,DARF - FOLHA | DARF FOLHA,07/2024,20/08/2024,"R$ 155,32",155.32,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA | DARF FOLHA|07/2024|20/08/2024
327345,HOLERITE | HOLERITE,07/2024,20/08/2024,-,,Pago,,,,,,PDF (demonstrativo),HOLERITE | HOLERITE|07/2024|20/08/2024
317541,DAS - SIMPLES NACIONAL | DAS MENSAL,06/2024,22/07/2024,"R$ 1.418,08",1418.08,Pago,Anexo III,"7,41","R$ 19.150,00","R$ 1.418,08",,icone-info / API calculo Simples,DAS - SIMPLES NACIONAL | DAS MENSAL|06/2024|22/07/2024
314327,DARF - FOLHA | DARF FOLHA,06/2024,19/07/2024,"R$ 155,32",155.32,Pago,,,,,,PDF (demonstrativo),DARF - FOLHA | DARF FOLHA|06/2024|19/07/2024
309695,HOLERITE,06/2024,19/07/2024,-,,Pago,,,,,,documento sem API de calculo mapeada,HOLERITE|06/2024|19/07/2024
299353,DAS MENSAL,05/2024,20/06/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS MENSAL|05/2024|20/06/2024
297342,DARF FOLHA,05/2024,20/06/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DARF FOLHA|05/2024|20/06/2024
293438,HOLERITE,05/2024,20/06/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,HOLERITE|05/2024|20/06/2024
282708,DAS MENSAL,04/2024,20/05/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS MENSAL|04/2024|20/05/2024
280741,DARF FOLHA,04/2024,20/05/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DARF FOLHA|04/2024|20/05/2024
279777,TAXA DE LOCALIZAÇÃO E FUNCIONAMENTO,04/2024,10/05/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,TAXA DE LOCALIZAÇÃO E FUNCIONAMENTO|04/2024|10/05/2024
265924,DAS MENSAL,03/2024,20/04/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS MENSAL|03/2024|20/04/2024
263473,DARF FOLHA,03/2024,19/04/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DARF FOLHA|03/2024|19/04/2024
252439,DAS MENSAL,02/2024,20/03/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS MENSAL|02/2024|20/03/2024
248762,DARF FOLHA,02/2024,20/03/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DARF FOLHA|02/2024|20/03/2024
247232,Envelope de Pagamento Gráfico,02/2024,20/03/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Envelope de Pagamento Gráfico|02/2024|20/03/2024
240000,DAS MENSAL,01/2024,20/02/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS MENSAL|01/2024|20/02/2024
234663,DARF FOLHA,01/2024,20/02/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DARF FOLHA|01/2024|20/02/2024
232348,Envelope de Pagamento Gráfico,01/2024,20/02/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Envelope de Pagamento Gráfico|01/2024|20/02/2024
228433,DARF FOLHA,12/2023,19/01/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DARF FOLHA|12/2023|19/01/2024
227127,DAS MENSAL,12/2023,22/01/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS MENSAL|12/2023|22/01/2024
218444,Envelope de Pagamento Gráfico,12/2023,19/01/2024,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Envelope de Pagamento Gráfico|12/2023|19/01/2024
209027,DAS MENSAL,11/2023,20/12/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS MENSAL|11/2023|20/12/2023
205098,DARF FOLHA,11/2023,20/12/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DARF FOLHA|11/2023|20/12/2023
203889,Envelope de Pagamento Gráfico,11/2023,20/12/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Envelope de Pagamento Gráfico|11/2023|20/12/2023
198029,DAS MENSAL,10/2023,20/11/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS MENSAL|10/2023|20/11/2023
192870,DARF FOLHA,10/2023,20/11/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DARF FOLHA|10/2023|20/11/2023
191278,Envelope de Pagamento Gráfico,10/2023,20/11/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Envelope de Pagamento Gráfico|10/2023|20/11/2023
184976,DAS - MENSAL,09/2023,20/10/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS - MENSAL|09/2023|20/10/2023
179946,DARF FOLHA,09/2023,20/10/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DARF FOLHA|09/2023|20/10/2023
178889,Envelope de Pagamento Gráfico,09/2023,20/10/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Envelope de Pagamento Gráfico|09/2023|20/10/2023
173152,DAS MENSAL,08/2023,20/09/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS MENSAL|08/2023|20/09/2023
168400,DARF FOLHA,08/2023,20/09/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DARF FOLHA|08/2023|20/09/2023
167272,Envelope de Pagamento Gráfico,08/2023,20/09/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Envelope de Pagamento Gráfico|08/2023|20/09/2023
163256,DAS MENSAL,07/2023,21/08/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS MENSAL|07/2023|21/08/2023
157498,DARF FOLHA,07/2023,18/08/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DARF FOLHA|07/2023|18/08/2023
156342,Envelope de Pagamento Gráfico,07/2023,18/08/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Envelope de Pagamento Gráfico|07/2023|18/08/2023
153194,DAS MENSAL,06/2023,20/07/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS MENSAL|06/2023|20/07/2023
146245,Guia de pagamento,06/2023,20/07/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Guia de pagamento|06/2023|20/07/2023
145535,Envelope de Pagamento Gráfico,06/2023,20/07/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Envelope de Pagamento Gráfico|06/2023|20/07/2023
138925,DAS MENSAL,05/2023,20/06/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS MENSAL|05/2023|20/06/2023
135950,Guia de pagamento,05/2023,20/06/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Guia de pagamento|05/2023|20/06/2023
135289,Envelope de Pagamento Gráfico,05/2023,20/06/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Envelope de Pagamento Gráfico|05/2023|20/06/2023
132560,DAS MENSAL,04/2023,22/05/2023,-,,Pago,,,,,,documento sem API de calculo mapeada,DAS MENSAL|04/2023|22/05/2023
125072,Guia de pagamento,04/2023,19/05/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Guia de pagamento|04/2023|19/05/2023
124395,Envelope de Pagamento Grafico,04/2023,19/05/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Envelope de Pagamento Grafico|04/2023|19/05/2023
122068,INSS,03/2023,20/04/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,INSS|03/2023|20/04/2023
119208,DAS MENSAL,03/2023,20/04/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS MENSAL|03/2023|20/04/2023
115147,Envelope de Pagamento Grafico,03/2023,20/04/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,Envelope de Pagamento Grafico|03/2023|20/04/2023
113568,INSS,02/2023,20/03/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,INSS|02/2023|20/03/2023
113567,HOLERITE,02/2023,20/03/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,HOLERITE|02/2023|20/03/2023
111254,DAS - Mensal,02/2023,20/03/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS - Mensal|02/2023|20/03/2023
100646,DAS - Mensal,01/2023,22/02/2023,-,,Não consultado,,,,,,documento sem API de calculo mapeada,DAS - Mensal|01/2023|22/02/2023
