tipo,grupo,cells,nome,summary,collapse.minhaPosicao.Valor Líquido,collapse.minhaPosicao.Rendimento Bruto,collapse.minhaPosicao.Rendimento Líquido,collapse.minhaPosicao.Garantia,collapse.minhaPosicao.Quantidade,collapse.caracteristicas.Liquidez,collapse.caracteristicas.Juros,collapse.caracteristicas.Amortização,collapse.caracteristicas.Ticker/Código,collapse.caracteristicas.Rating,collapse.caracteristicas.Taxa de compra,collapse.eventos,collapse.minhaPosicao.Em cotização,collapse.minhaPosicao.Rendimento bruto,collapse.minhaPosicao.Rendimento líquido,collapse.minhaPosicao.IR,collapse.minhaPosicao.IOF,collapse.caracteristicas.Rent. 12 meses,collapse.caracteristicas.Rent. mês,collapse.caracteristicas.Tempo resgate (Cotização),collapse.caracteristicas.Tempo resgate (Liquidação),collapse.caracteristicas.Taxa administração
rendaFixa,"18,6% | Prefixado",,CRA MINERVA - NOV/2034,"[""CRA MINERVA - NOV/2034"",""R$ 9.344,94"",""3,56%"",""R$ 9.302,94"",""+13,95%"",""06/05/2025"",""16/11/2034""]",,,,,,,,,,,,,,,,,,,,,,
rendaFixa,"18,6% | Prefixado",,DEB ORIGEM ENERGIA - DEZ/2035,"[""DEB ORIGEM ENERGIA - DEZ/2035"",""R$ 4.456,46"",""1,7%"",""R$ 4.237,96"",""+12,90%"",""20/08/2024"",""15/12/2035""]","R$ 4.456,46","R$ 949,89","R$ 949,89",0,4,15/12/2035,Semestral,VENCIMENTO,ORIG21,Fitch - A,"+12,90%","[{""data"":""16/12/2024"",""juros"":""R$ 278,13"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]",,,,,,,,,,
rendaFixa,"18,6% | Prefixado",,DEB V.TAL - ABR/2032,"[""DEB V.TAL - ABR/2032"",""R$ 8.284,81"",""3,16%"",""R$ 8.151,16"",""+14,55%"",""03/06/2025"",""15/04/2032""]","R$ 8.284,81","R$ 1.140,92","R$ 1.140,92",0,8,15/04/2032,Semestral,VENCIMENTO,BTEL13,S&P - brAA+,"+14,55%","[{""data"":""15/10/2025"",""juros"":""R$ 500,14"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]",,,,,,,,,,
grupo,10% | Pós-Fixado,"[""10% | Pós-Fixado"",""Posição na taxa de compra"",""% Alocação"",""Valor aplicado"",""Taxa de compra"",""Data aplicação"",""Data vencimento""]",,,,,,,,,,,,,,,,,,,,,,,,
rendaFixa,10% | Pós-Fixado,,CRI PATRIMAR - ABR/2029,"[""CRI PATRIMAR - ABR/2029"",""R$ 7.032,00"",""2,68%"",""R$ 6.863,17"",""CDI +2,00%"",""22/11/2024"",""24/04/2029""]","R$ 7.032,00","R$ 1.655,99","R$ 1.655,99",0,7,24/04/2029,Semestral,VENCIMENTO,24D2688431,-,"CDI +2,00%","[{""data"":""24/04/2025"",""juros"":""R$ 460,81"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]",,,,,,,,,,
rendaFixa,10% | Pós-Fixado,,CRA BTG - SET/2033,"[""CRA BTG - SET/2033"",""R$ 6.639,10"",""2,53%"",""R$ 6.455,70"",""97,50% CDI"",""17/09/2024"",""15/09/2033""]","R$ 6.639,10","R$ 1.479,13","R$ 1.479,13",0,6,15/09/2033,Semestral,VENCIMENTO,CRA02300HWH,-,"97,50% CDI","[{""data"":""17/03/2025"",""juros"":""R$ 367,95"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]",,,,,,,,,,
rendaFixa,10% | Pós-Fixado,,DEB SIMPAR - JAN/2031,"[""DEB SIMPAR - JAN/2031"",""R$ 6.412,76"",""2,44%"",""R$ 6.012,79"",""CDI +3,40%"",""23/10/2024"",""15/01/2031""]","R$ 6.342,77","R$ 1.651,36","R$ 1.581,37",0,6,15/01/2031,Semestral,VENCIMENTO,JSMLA5,Fitch - AAA,"CDI +3,40%","[{""data"":""15/01/2025"",""juros"":""R$ 435,27"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]",,,,,,,,,,
rendaFixa,10% | Pós-Fixado,,CRA FS FLORESTAL - MAR/2031,"[""CRA FS FLORESTAL - MAR/2031"",""R$ 6.051,01"",""2,31%"",""R$ 6.000,00"",""CDI +3,00%"",""26/03/2025"",""17/03/2031""]",,,,,,,,,,,,,,,,,,,,,,
grupo,"1,8% | Renda Fixa Global","[""1,8% | Renda Fixa Global"",""Posição na taxa de compra"",""% Alocação"",""Valor aplicado"",""Taxa de compra"",""Data aplicação"",""Data vencimento""]",,,,,,,,,,,,,,,,,,,,,,,,
rendaFixa,"1,8% | Renda Fixa Global",,CRA SEARA (JBS) - OUT/2035,"[""CRA SEARA (JBS) - OUT/2035"",""R$ 4.699,49"",""1,79%"",""R$ 5.000,00"",""DOLAR PTAX +5,30%"",""05/11/2025"",""03/10/2035""]","R$ 4.699,49","-R$ 172,07","-R$ 172,07",0,5,03/10/2035,-,VENCIMENTO,CRA0250099D,Moody´s - AAA.br,"DOLAR PTAX +5,30%","[{""data"":""06/04/2026"",""juros"":""R$ 128,43"",""amortizacao"":""R$ 0,00"",""premio"":""R$ 0,00""}]",,,,,,,,,,
grupo,"20,8% | Pós-Fixado","[""20,8% | Pós-Fixado"",""Posição"",""% Alocação"",""Rentabilidade Líquida"",""Rentabilidade Bruta"",""Valor aplicado"",""Valor líquido""]",,,,,,,,,,,,,,,,,,,,,,,,
fundo,"20,8% | Pós-Fixado",,Occam Liquidez FIC FIF RF CP RL,"[""Occam Liquidez FIC FIF RF CP RL"",""R$ 26.923,80"",""10,26%"",""3,4%"",""3,69%"",""R$ 25.965,13"",""R$ 26.848,23""]",,,,,,,,,,,,,"R$ 0,00","R$ 958,67","R$ 883,10","R$ 52,57","R$ 23,00","15,09%","0,11%",D+0 (Dias Úteis),D+1 (Dias Úteis),"0,4%"
fundo,"20,8% | Pós-Fixado",,SVN FIRF CP RL,"[""SVN FIRF CP RL"",""R$ 14.167,81"",""5,4%"",""6,42%"",""6,78%"",""R$ 13.268,15"",""R$ 14.120,08""]",,,,,,,,,,,,,,,,,,,,,,
fundo,"20,8% | Pós-Fixado",,XP Referenciado FIF RF Referenciado DI CP RL,"[""XP Referenciado FIF RF Referenciado DI CP RL"",""R$ 13.393,14"",""5,1%"",""6,53%"",""6,92%"",""R$ 12.526,31"",""R$ 13.344,34""]",,,,,,,,,,,,,"R$ 0,00","R$ 866,83","R$ 818,03","R$ 48,80","R$ 0,00","14,79%","0,16%",D+0 (Dias Úteis),D+0 (Dias Úteis),"0,3%"
